date,product,price,quantity,revenue,category,region,customer_type,discount,payment_method,delivery_days,returned
2024-01-02,Ноутбук HeroBook Pro,74990,2,149980,Электроника,Москва,Физическое лицо,0,Credit Card,3,False
2024-01-02,Мышь Wireless Gamer,2490,8,19920,Электроника,Москва,Физическое лицо,5,Debit Card,2,False
2024-01-03,Клавиатура Mechanical RGB,5490,5,27450,Электроника,СПБ,Юридическое лицо,0,Bank Transfer,4,False
2024-01-03,Монитор 27" 4K,31990,2,63980,Электроника,Казань,Физическое лицо,10,Debit Card,3,False
2024-01-04,Наушники BassX,3790,12,45480,Аксессуары,Москва,Физическое лицо,0,Credit Card,2,True
2024-01-04,Стул офисный Ergo,12490,3,37470,Мебель,Екатеринбург,Юридическое лицо,0,Bank Transfer,5,False
2024-01-05,Ноутбук HeroBook Pro,74990,1,74990,Электроника,Новосибирск,Физическое лицо,0,Credit Card,4,False
2024-01-05,Подставка для ноутбука,1790,20,35800,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-01-06,Стол компьютерный,8890,4,35560,Мебель,СПБ,Юридическое лицо,0,Bank Transfer,6,False
2024-01-06,Веб-камера 4K,6790,6,40740,Электроника,Казань,Физическое лицо,0,Credit Card,2,False
2024-01-07,Коврик для мыши XXL,1190,30,35700,Аксессуары,Москва,Физическое лицо,10,Debit Card,1,False
2024-01-07,Мышь Wireless Gamer,2490,15,37350,Электроника,Екатеринбург,Юридическое лицо,0,Bank Transfer,2,False
2024-01-08,Клавиатура Mechanical RGB,5490,8,43920,Электроника,Новосибирск,Физическое лицо,5,Credit Card,3,False
2024-01-08,Монитор 27" 4K,31990,1,31990,Электроника,Москва,Физическое лицо,0,Debit Card,2,False
2024-01-09,Наушники BassX,3790,25,94750,Аксессуары,СПБ,Физическое лицо,0,Credit Card,2,True
2024-01-09,Стул офисный Ergo,12490,5,62450,Мебель,Москва,Юридическое лицо,0,Bank Transfer,4,False
2024-01-10,Ноутбук HeroBook Pro,74990,3,224970,Электроника,СПБ,Юридическое лицо,0,Bank Transfer,3,False
2024-01-10,Подставка для ноутбука,1790,15,26850,Аксессуары,Казань,Физическое лицо,0,Debit Card,2,False
2024-01-11,Стол компьютерный,8890,6,53340,Мебель,Москва,Физическое лицо,5,Credit Card,5,False
2024-01-11,Веб-камера 4K,6790,10,67900,Электроника,Екатеринбург,Юридическое лицо,0,Bank Transfer,3,False
2024-01-12,Коврик для мыши XXL,1190,25,29750,Аксессуары,Новосибирск,Физическое лицо,0,Credit Card,1,False
2024-01-12,Мышь Wireless Gamer,2490,20,49800,Электроника,Москва,Физическое лицо,10,Debit Card,2,False
2024-01-13,Клавиатура Mechanical RGB,5490,10,54900,Электроника,Казань,Юридическое лицо,0,Bank Transfer,3,False
2024-01-13,Монитор 27" 4K,31990,2,63980,Электроника,СПБ,Физическое лицо,0,Credit Card,3,False
2024-01-14,Наушники BassX,3790,18,68220,Аксессуары,Москва,Физическое лицо,5,Debit Card,1,False
2024-01-14,Стул офисный Ergo,12490,4,49960,Мебель,Екатеринбург,Юридическое лицо,0,Bank Transfer,5,False
2024-01-15,Ноутбук HeroBook Pro,74990,2,149980,Электроника,Новосибирск,Физическое лицо,0,Credit Card,4,False
2024-01-15,Подставка для ноутбука,1790,22,39380,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-01-16,Стол компьютерный,8890,3,26670,Мебель,СПБ,Юридическое лицо,0,Bank Transfer,6,False
2024-01-16,Веб-камера 4K,6790,8,54320,Электроника,Казань,Физическое лицо,10,Credit Card,2,False
2024-01-17,Коврик для мыши XXL,1190,40,47600,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-01-17,Мышь Wireless Gamer,2490,12,29880,Электроника,Екатеринбург,Юридическое лицо,0,Bank Transfer,2,False
2024-01-18,Клавиатура Mechanical RGB,5490,7,38430,Электроника,Новосибирск,Физическое лицо,0,Credit Card,3,False
2024-01-18,Монитор 27" 4K,31990,3,95970,Электроника,Москва,Юридическое лицо,0,Bank Transfer,3,False
2024-01-19,Наушники BassX,3790,20,75800,Аксессуары,СПБ,Физическое лицо,0,Credit Card,2,True
2024-01-19,Стул офисный Ergo,12490,6,74940,Мебель,Москва,Физическое лицо,0,Debit Card,4,False
2024-01-20,Ноутбук HeroBook Pro,74990,4,299960,Электроника,СПБ,Юридическое лицо,5,Bank Transfer,3,False
2024-01-20,Подставка для ноутбука,1790,18,32220,Аксессуары,Казань,Физическое лицо,0,Credit Card,2,False
2024-01-21,Стол компьютерный,8890,5,44450,Мебель,Москва,Физическое лицо,0,Debit Card,5,False
2024-01-21,Веб-камера 4K,6790,12,81480,Электроника,Екатеринбург,Юридическое лицо,0,Bank Transfer,3,False
2024-01-22,Коврик для мыши XXL,1190,35,41650,Аксессуары,Новосибирск,Физическое лицо,0,Credit Card,1,False
2024-01-22,Мышь Wireless Gamer,2490,25,62250,Электроника,Москва,Физическое лицо,10,Debit Card,2,False
2024-01-23,Клавиатура Mechanical RGB,5490,9,49410,Электроника,Казань,Юридическое лицо,0,Bank Transfer,3,False
2024-01-23,Монитор 27" 4K,31990,1,31990,Электроника,СПБ,Физическое лицо,0,Credit Card,3,False
2024-01-24,Наушники BassX,3790,22,83380,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-01-24,Стул офисный Ergo,12490,7,87430,Мебель,Екатеринбург,Юридическое лицо,0,Bank Transfer,5,False
2024-01-25,Ноутбук HeroBook Pro,74990,1,74990,Электроника,Новосибирск,Физическое лицо,0,Credit Card,4,False
2024-01-25,Подставка для ноутбука,1790,28,50120,Аксессуары,Москва,Физическое лицо,5,Debit Card,1,False
2024-01-26,Стол компьютерный,8890,4,35560,Мебель,СПБ,Юридическое лицо,0,Bank Transfer,6,False
2024-01-26,Веб-камера 4K,6790,9,61110,Электроника,Казань,Физическое лицо,0,Credit Card,2,False
2024-01-27,Мышь Wireless Gamer,2490,30,74700,Электроника,Москва,Физическое лицо,0,Debit Card,2,False
2024-01-27,Клавиатура Mechanical RGB,5490,6,32940,Электроника,Екатеринбург,Юридическое лицо,10,Bank Transfer,3,False
2024-01-28,Монитор 27" 4K,31990,2,63980,Электроника,Новосибирск,Физическое лицо,0,Credit Card,3,False
2024-01-28,Наушники BassX,3790,15,56850,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-01-29,Стул офисный Ergo,12490,5,62450,Мебель,СПБ,Юридическое лицо,0,Bank Transfer,4,False
2024-01-29,Ноутбук HeroBook Pro,74990,2,149980,Электроника,Казань,Физическое лицо,0,Credit Card,4,False
2024-01-30,Подставка для ноутбука,1790,16,28640,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-01-30,Стол компьютерный,8890,7,62230,Мебель,Екатеринбург,Юридическое лицо,0,Bank Transfer,5,False
2024-01-31,Веб-камера 4K,6790,11,74690,Электроника,Новосибирск,Физическое лицо,0,Credit Card,2,False
2024-02-01,Ноутбук HeroBook Pro,74990,3,224970,Электроника,Москва,Юридическое лицо,0,Bank Transfer,3,False
2024-02-01,Коврик для мыши XXL,1190,45,53550,Аксессуары,СПБ,Физическое лицо,0,Debit Card,1,False
2024-02-02,Мышь Wireless Gamer,2490,22,54780,Электроника,Казань,Физическое лицо,5,Credit Card,2,False
2024-02-02,Клавиатура Mechanical RGB,5490,12,65880,Электроника,Москва,Юридическое лицо,0,Bank Transfer,3,False
2024-02-03,Монитор 27" 4K,31990,3,95970,Электроника,Екатеринбург,Физическое лицо,0,Debit Card,3,False
2024-02-03,Наушники BassX,3790,28,106120,Аксессуары,Новосибирск,Физическое лицо,10,Credit Card,2,False
